chinese,pinyin
他是个啥也不懂的毛头小子，你犯不着跟他一般见识。,"Tā shì ge shá yě bù dǒng de máotóu xiǎozi, nǐ fànbuzháo gēn tā yìbānjiànshi."
你们俩打小就认识，为了这么点儿小事闹翻，犯不着。,"Nǐmen liǎ dǎxiǎo jiù rènshi, wèile zhème diǎnr xiǎoshì nàofān, fànbuzháo."
现在是公司发展的关键时期，你犯得着为这些小事分心吗？,"Xiànzài shì gōngsī fāzhǎn de guānjiàn shíqī, nǐ fàndezháo wèi zhèxiē xiǎoshì fēnxīn ma?"
人家好心好意给你提些意见，你这么激动，犯得着吗？,"Rénjia hǎoxīnhǎoyì gěi nǐ tí xiē yìjiàn, nǐ zhème jīdòng, fàndezháo ma?"
一开始项目推动得非常缓慢，我们恨不得24小时都在工作。,"Yì kāishǐ xiàngmù tuīdòng de fēicháng huǎnmàn, wǒmen hènbude èrshísì xiǎoshí dōu zài gōngzuò."
大家的学习热情很高，恨不得一下子把所有的先进技术都学到手。,"Dàjiā de xuéxí rèqíng hěn gāo, hènbude yíxiàzi bǎ suǒyǒu de xiānjìn jìshù dōu xuédàoshǒu."
此事可否容我思索几日，再行答复？,"Cǐ shì kěfǒu róng wǒ sīsuǒ jǐ rì, zài xíng dáfù?"
关于先生会上所言，学生尚有不明之处，可否向先生进一步请教？,"Guānyú xiānsheng huì shàng suǒ yán, xuésheng shàng yǒu bù míng zhī chù, kěfǒu xiàng xiānsheng jìnyíbù qǐngjiào?"
我申请与其当面对质，不知可否？,"Wǒ shēnqǐng yǔ qí dāngmiàn duìzhì, bù zhī kěfǒu?"
王安忆对上海人的观察和描写非常细腻，可谓“入木三分”。,"Wáng Ānyì duì Shànghǎi rén de guānchá hé miáoxiě fēicháng xìnì, kěwèi ""rùmùsānfēn""."
《昆虫记》知识性、趣味性、哲理性兼具，真可谓是科学与艺术相结合的典范。,"Kūnchóng Jì zhīshixìng, qùwèixìng, zhélǐxìng jiānjù, zhēn kěwèi shì kēxué yǔ yìshù xiāng jiéhé de diǎnfàn."
在成长的道路上，免不了会遇到各种各样的问题。,"Zài chéngzhǎng de dàolù shàng, miǎnbuliǎo huì yùdào gèzhǒnggèyàng de wèntí."
这件事要是让他知道，一顿数落是免不了的。,"Zhè jiàn shì yàoshi ràng tā zhīdao, yí dùn shǔluo shì miǎnbuliǎo de."
所谓难得糊涂，并非是对生活的无奈妥协，而是一种张弛有度的处世之道。,"Suǒwèi nándéhútu, bìngfēi shì duì shēnghuó de wúnài tuǒxié, érshì yì zhǒng zhāngchíyǒudù de chǔshì zhī dào."
这家公司所谓的产品升级，不过是给商品换了一个更华丽的包装。,"Zhè jiā gōngsī suǒwèi de chǎnpǐn shēngjí, búguò shì gěi shāngpǐn huànle yí ge gèng huálì de bāozhuāng."
引进先进技术与优化管理流程后，各部门工作效率均有所提高。,"Yǐnjìn xiānjìn jìshù yǔ yōuhuà guǎnlǐ liúchéng hòu, gè bùmén gōngzuò xiàolǜ jūn yǒusuǒ tígāo."
倘若事态紧急，无暇向上请示，你大可自行决断，不必有所顾虑。,"Tǎngruò shìtài jǐnjí, wúxiá xiàng shàng qǐngshì, nǐ dàkě zìxíng juéduàn, búbì yǒusuǒ gùlǜ."
限于作者水平，如有不当之处还望专家予以批评指正。,"Xiànyú zuòzhě shuǐpíng, rú yǒu búdàng zhī chù hái wàng zhuānjiā yǔyǐ pīpíng zhǐzhèng."
对于原告提出的高昂赔付要求，法院并未予以支持。,"Duìyú yuángào tíchū de gāo'áng péifù yāoqiú, fǎyuàn bìng wèi yǔyǐ zhīchí."
我校教育质量上乘，办学几十年间为国家培养、输送了大批优秀人才。,"Wǒ xiào jiàoyù zhìliàng shàngchéng, bànxué jǐshí nián jiān wèi guójiā péiyǎng, shūsòngle dàpī yōuxiù réncái."
我公司始终秉持“以客户为中心”的理念，致力于为客户提供最优质的服务。,"Wǒ gōngsī shǐzhōng bǐngchí ""yǐ kèhù wéi zhōngxīn"" de lǐniàn, zhìlìyú wèi kèhù tígōng zuì yōuzhì de fúwù."
“古典小说”鼎盛于明清时期，彼时涌现了如四大名著等众多经典之作。,"""Gǔdiǎn xiǎoshuō"" dǐngshèng yú Míng Qīng shíqī, bǐshí yǒngxiànle rú Sì Dà Míngzhù děng zhòngduō jīngdiǎn zhī zuò."
提起朝阳，人们往往会想到北京的朝阳区。然而我们今日前往参观的此“朝阳”非彼“朝阳”，乃是被誉为“三燕古都”的辽宁省朝阳市。,"Tíqǐ Cháoyáng, rénmen wǎngwǎng huì xiǎngdào Běijīng de Cháoyáng Qū. Rán'ér wǒmen jīnrì qiánwǎng cānguān de cǐ ""Cháoyáng"" fēi bǐ ""Cháoyáng"", nǎi shì bèi yùwéi ""Sān Yàn Gǔdū"" de Liáoníng Shěng Cháoyáng Shì."
在商务谈判中，应尽量做到知己知彼，这样才能争取到最大的利益。,"Zài shāngwù tánpàn zhōng, yīng jǐnliàng zuòdào zhījǐzhībǐ, zhèyàng cái néng zhēngqǔ dào zuì dà de lìyì."
你们觉得这么着好就这么办，不必再来问我的意见了。,"Nǐmen juéde zhèmezhe hǎo jiù zhème bàn, búbì zài lái wèn wǒ de yìjiàn le."
那地方你人生地不熟的，这么着吧，我陪你一起去看看。,"Nà dìfang nǐ rénshēngdìbùshú de, zhèmezhe ba, wǒ péi nǐ yìqǐ qù kànkan."
兹证明李莉女士系本单位正式员工，已连续在本单位工作十年。,"Zī zhèngmíng Lǐ Lì nǚshì xì běn dānwèi zhèngshì yuángōng, yǐ liánxù zài běn dānwèi gōngzuò shí nián."
受有关机构委托，兹有以下标的拟予以转让，现公告如下，欢迎合格投标人参加该项目投标。,"Shòu yǒuguān jīgòu wěituō, zī yǒu yǐxià biāodì nǐ yǔyǐ zhuǎnràng, xiàn gōnggào rúxià, huānyíng hégé tóubiāorén cānjiā gāi xiàngmù tóubiāo."
历史学家的任务之一是在浩瀚的史料中挖掘出何时、何地发生了何种事件。,"Lìshǐ xuéjiā de rènwu zhī yī shì zài hàohàn de shǐliào zhōng wājué chū héshí, hédì fāshēngle hé zhǒng shìjiàn."
这座滨江小城魅力何在？因何引得诸多文人骚客留下脍炙人口的名篇？,Zhè zuò bīnjiāng xiǎochéng mèilì hézài? Yīnhé yǐn de zhūduō wénrén sāokè liúxià kuàizhìrénkǒu de míngpiān?
他夜里翻来覆去地想着这件事，可是还是不知道该怎么着才好。,"Tā yèli fānláifùqù de xiǎngzhe zhè jiàn shì, kěshì háishi bù zhīdao gāi zěnmezhe cái hǎo."
你说她半天在那儿一声不吭，是生气了还是怎么着？,"Nǐ shuō tā bàntiān zài nàr yìshēngbùkēng, shì shēngqì le háishi zěnmezhe?"
经过初赛、复赛和决赛，大赛产生了“十佳歌手”和若干“优秀歌手”。,"Jīngguò chūsài, fùsài hé juésài, dàsài chǎnshēngle ""shí jiā gēshǒu"" hé ruògān ""yōuxiù gēshǒu""."
她一生著有长篇小说七部，另有中短篇小说、散文、诗歌、随笔若干。,"Tā yìshēng zhùyǒu chángpiān xiǎoshuō qī bù, lìng yǒu zhōngduǎnpiān xiǎoshuō, sǎnwén, shīgē, suíbǐ ruògān."
该项目的延期是由多重原因所导致的，包括预算不足、人员短缺等。,"Gāi xiàngmù de yánqī shì yóu duōchóng yuányīn suǒ dǎozhì de, bāokuò yùsuàn bùzú, rényuán duǎnquē děng."
她们团队克服重重困难和阻碍，出色地完成了艰巨的任务。,"Tāmen tuánduì kèfú chóngchóng kùnnan hé zǔ'ài, chūsè de wánchéngle jiānjù de rènwu."
他想找一截木头做个镇纸。,Tā xiǎng zhǎo yì jié mùtou zuò ge zhènzhǐ.
他看到这里简陋的生活环境，心里顿时凉了半截。,"Tā kàndào zhèlǐ jiǎnlòu de shēnghuó huánjìng, xīnli dùnshí liángle bàn jié."
迎面走来一个身着白色T恤的女学生，白皙的额头上垂落着一缕秀发。,"Yíngmiàn zǒulái yí ge shēn zhuó báisè T xù de nǚxuésheng, báixī de étóu shàng chuíluòzhe yì lǚ xiùfà."
忽地起了一阵微风，送来缕缕清香，将所有的烦恼瞬间驱散。,"Hūdì qǐle yí zhèn wēifēng, sònglái lǚlǚ qīngxiāng, jiāng suǒyǒu de fánnǎo shùnjiān qūsàn."
科研和科普是两码事。杰出的科学家未必能写出好的科普作品，优秀的科普作家也不一定能做好科研工作。,"Kēyán hé kēpǔ shì liǎng mǎ shì. Jiéchū de kēxuéjiā wèibì néng xiěchū hǎo de kēpǔ zuòpǐn, yōuxiù de kēpǔ zuòjiā yě bù yídìng néng zuòhǎo kēyán gōngzuò."
虽然你们私交很好，但工作上的事情还是应该一码归一码，公事公办。,"Suīrán nǐmen sījiāo hěn hǎo, dàn gōngzuò shàng de shìqing háishi yīnggāi yì mǎ guī yì mǎ, gōngshì gōngbàn."
权利与义务犹如一枚硬币的两面，相互依存，密不可分。,"Quánlì yǔ yìwù yóurú yì méi yìngbì de liǎng miàn, xiānghù yīcún, mìbùkěfēn."
他工作非常出色，十年里共获得五枚奖章。,"Tā gōngzuò fēicháng chūsè, shí nián lǐ gòng huòdé wǔ méi jiǎngzhāng."
苏州有一对老夫妻，子女们平日里各为自己的一摊事忙活，只有节假日才有机会团聚。,"Sūzhōu yǒu yí duì lǎo fūqī, zǐnǚmen píngrì lǐ gè wèi zìjǐ de yì tān shì mánghuo, zhǐyǒu jiéjiàrì cái yǒu jīhuì tuánjù."
公司的事已经让他焦头烂额，家中还另有一摊，他感到身心俱疲。,"Gōngsī de shì yǐjīng ràng tā jiāotóulàn'é, jiāzhōng hái lìng yǒu yì tān, tā gǎndào shēnxīnjùpí."
要制成一丸药，需用上三十多种原料并经过多道工序。,"Yào zhìchéng yì wán yào, xū yòngshàng sānshí duō zhǒng yuánliào bìng jīngguò duō dào gōngxù."
这个药每日三次，每次六丸，餐后半小时服用。,"Zhège yào měi rì sān cì, měi cì liù wán, cān hòu bàn xiǎoshí fúyòng."
今天《人民日报》上刊登的一则新闻，令我大吃一惊。,"Jīntiān Rénmín Rìbào shàng kāndēng de yì zé xīnwén, lìng wǒ dàchīyìjīng."
在不到两小时的演讲过程中，他至少引用了20则古代典故。,"Zài búdào liǎng xiǎoshí de yǎnjiǎng guòchéng zhōng, tā zhìshǎo yǐnyòngle èrshí zé gǔdài diǎngù."
历经一年，长乐村建成了一幢两层高的标准化教学楼。,"Lìjīng yì nián, Chánglè Cūn jiànchéngle yí zhuàng liǎng céng gāo de biāozhǔnhuà jiàoxuélóu."
医院今年新建职工宿舍三幢，医技大楼两幢。,"Yīyuàn jīnnián xīnjiàn zhígōng sùshè sān zhuàng, yījì dàlóu liǎng zhuàng."
法官必须具有超乎寻常的耐心和细心，才能办好每一宗案件。,"Fǎguān bìxū jùyǒu chāohū xúncháng de nàixīn hé xìxīn, cái néng bànhǎo měi yì zōng ànjiàn."
他匆匆赶往机场，准备飞去香港谈宗生意。,"Tā cōngcōng gǎnwǎng jīchǎng, zhǔnbèi fēiqù Xiānggǎng tán zōng shēngyi."
了解了我的饮食习惯以后，那位医生将我好一通批评，说我没有管住嘴。,"Liǎojiěle wǒ de yǐnshí xíguàn yǐhòu, nà wèi yīshēng jiāng wǒ hǎo yì tōng pīpíng, shuō wǒ méiyǒu guǎnzhù zuǐ."
因为他的失误，公司利益受到了重大损失，老板把他狠狠训了一通。,"Yīnwèi tā de shīwù, gōngsī lìyì shòudàole zhòngdà sǔnshī, lǎobǎn bǎ tā hěnhěn xùnle yì tōng."
旅游大数据显示，今年一季度辽宁省共接待游客1.71亿人次，同比增长68.2%。,"Lǚyóu dàshùjù xiǎnshì, jīnnián yí jìdù Liáoníng Shěng gòng jiēdài yóukè yī diǎn qī yī yì réncì, tóngbǐ zēngzhǎng bǎifēnzhī liùshíbā diǎn èr."
各大图书馆的古旧书刊，因近年借阅人次大幅增加，损坏非常严重。,"Gè dà túshūguǎn de gǔjiù shūkān, yīn jìnnián jièyuè réncì dàfú zēngjiā, sǔnhuài fēicháng yánzhòng."
当他们第一次品尝这道精致的菜肴时，大为惊叹，味蕾感到前所未有的满足。,"Dāng tāmen dì yī cì pǐncháng zhè dào jīngzhì de càiyáo shí, dàwéi jīngtàn, wèilěi gǎndào qiánsuǒwèiyǒu de mǎnzú."
该歌手的演唱会门票，每张均以高价售出，但其表演水平并不高，观众看后大为不满。,"Gāi gēshǒu de yǎnchànghuì ménpiào, měi zhāng jūn yǐ gāojià shòuchū, dàn qí biǎoyǎn shuǐpíng bìng bù gāo, guānzhòng kàn hòu dàwéi bùmǎn."
与高手过招时须分外小心，万不可轻举妄动。,"Yǔ gāoshǒu guòzhāo shí xū fènwài xiǎoxīn, wàn bùkě qīngjǔwàngdòng."
由于周边建筑都比较低矮，这座大楼显得分外高大。,"Yóuyú zhōubiān jiànzhù dōu bǐjiào dī'ǎi, zhè zuò dàlóu xiǎnde fènwài gāodà."
拥有一双发现美的眼睛，在平淡生活中捕捉到一点一滴的美好，是何等幸运！,"Yōngyǒu yì shuāng fāxiàn měi de yǎnjing, zài píngdàn shēnghuó zhōng bǔzhuōdào yìdiǎnyìdī de měihǎo, shì héděng xìngyùn!"
在地形条件复杂的地区修筑一条长距离的铁路，不仅需攻克技术难题，而且投资,"Zài dìxíng tiáojiàn fùzá de dìqū xiūzhù yì tiáo cháng jùlí de tiělù, bùjǐn xū gōngkè jìshù nántí, érqiě tóuzī"
巨大、耗时耗力，是何等地不容易啊！,"Jùdà, hàoshí hàolì, shì héděng de bù róngyì a!"
即使在极度困难的条件下，他仍执着地追求着自己的艺术理想。,"Jíshǐ zài jídù kùnnan de tiáojiàn xià, tā réng zhízhuó de zhuīqiúzhe zìjǐ de yìshù lǐxiǎng."
他这段时间一直极度紧张和焦虑，现在终于放松下来了。,"Tā zhè duàn shíjiān yìzhí jídù jǐnzhāng hé jiāolǜ, xiànzài zhōngyú fàngsōng xiàlái le."
在会议上，他提出的解决方案大家都表示赞成，只有副总经理一个人极力反对。,"Zài huìyì shàng, tā tíchū de jiějué fāng'àn dàjiā dōu biǎoshì zànchéng, zhǐyǒu fù zǒngjīnglǐ yí ge rén jílì fǎnduì."
他极力想忍住，但疼痛还是使他叫出声来。,"Tā jílì xiǎng rěnzhù, dàn téngtòng háishi shǐ tā jiàochū shēng lái."
今年这套试卷注重考查学生灵活运用语言知识的能力，整体难度略高于历年考题。,"Jīnnián zhè tào shìjuàn zhùzhòng kǎochá xuésheng línghuó yùnyòng yǔyán zhīshi de nénglì, zhěngtǐ nándù lüè gāoyú lìnián kǎotí."
主人的审美意趣如何，从其所着的衣饰和家中的陈设，便可略知一二。,"Zhǔrén de shěnměi yìqù rúhé, cóng qí suǒ zhuó de yīshì hé jiāzhōng de chénshè, biàn kě lüè zhī yī èr."
他脸上挂着浅浅笑意，听到问题后总会先略微思考一下，再不紧不慢地作答。,"Tā liǎn shàng guàzhe qiǎnqiǎn xiàoyì, tīngdào wèntí hòu zǒng huì xiān lüèwēi sīkǎo yí xià, zài bù jǐn bú màn de zuòdá."
志愿者的热情如融融阳光，为这略微有些寒冷的清晨带来了暖意。,"Zhìyuànzhě de rèqíng rú róngróng yángguāng, wèi zhè lüèwēi yǒuxiē hánlěng de qīngchén dàiláile nuǎnyì."
林青自幼对木雕颇感兴趣，六岁起即拜当地的匠人为师，潜心学习雕刻技艺。,"Lín Qīng zìyòu duì mùdiāo pō gǎn xìngqù, liù suì qǐ jí bài dāngdì de jiàngrén wéi shī, qiánxīn xuéxí diāokè jìyì."
城市民宿往往隐于闹市，因其风格独特，活动自由，如今颇受顾客青睐。,"Chéngshì mínsù wǎngwǎng yǐnyú nàoshì, yīn qí fēnggé dútè, huódòng zìyóu, rújīn pō shòu gùkè qīnglài."
他顾不上长途飞行的疲惫，稍稍歇息后就马不停蹄地与客户商讨合作事宜。,"Tā gùbushàng chángtú fēixíng de píbèi, shāoshāo xiēxi hòu jiù mǎbùtíngtí de yǔ kèhù shāngtǎo hézuò shìyí."
她坐在那里，低头摆弄着衣角，稍稍有些拘谨。,"Tā zuò zài nàlǐ, dītóu bǎinòngzhe yījiǎo, shāoshāo yǒuxiē jūjǐn."
按照赵医生的手术治疗方案，患者最后转危为安，家属对其万分感激。,"Ànzhào Zhào yīshēng de shǒushù zhìliáo fāng'àn, huànzhě zuìhòu zhuǎnwēiwéi'ān, jiāshǔ duì qí wànfēn gǎnjī."
学生们平时只在银幕上见过周老师，现在有幸现场得见其“庐山真面目”，个个激动万分。,"Xuéshengmen píngshí zhǐ zài yínmù shàng jiànguo Zhōu lǎoshī, xiànzài yǒuxìng xiànchǎng dé jiàn qí ""Lúshān zhēn miànmù"", gègè jīdòng wànfēn."
谈及自己的远大理想，他有点儿激动，面色微红，声音也有点儿颤抖。,"Tánjí zìjǐ de yuǎndà lǐxiǎng, tā yǒudiǎnr jīdòng, miànsè wēihóng, shēngyīn yě yǒudiǎnr chàndǒu."
听了我的话，他微张着嘴，好像想说点儿什么，但最终还是什么也没说。,"Tīngle wǒ de huà, tā wēi zhāngzhe zuǐ, hǎoxiàng xiǎng shuō diǎnr shénme, dàn zuìzhōng háishi shénme yě méi shuō."
这次比赛中，9号选手的表现尤为突出，给评委和观众都留下了深刻的印象。,"Zhè cì bǐsài zhōng, jiǔ hào xuǎnshǒu de biǎoxiàn yóuwéi tūchū, gěi píngwěi hé guānzhòng dōu liúxiàle shēnkè de yìnxiàng."
在三星堆考古新成果中，尤为引人注目的是一座通高近70厘米的大口尊。,"Zài Sānxīngduī kǎogǔ xīn chéngguǒ zhōng, yóuwéi yǐnrénzhùmù de shì yí zuò tōnggāo jìn qīshí límǐ de dàkǒuzūn."
近年来，两国战略沟通合作日益密切，兄弟情谊愈加深厚。,"Jìnniánlái, liǎng guó zhànlüè gōutōng hézuò rìyì mìqiè, xiōngdì qíngyì yùjiā shēnhòu."
